chirpstack_time,server_time,devName,devEui,humidity,temperature
1662114551814,1662114552048,EM300-1,24e124136c195948,93,17.2
1662114603730,1662114603994,EM300-2,24e124136b327793,79.5,19.1
1662114701000,1662114702011,EM300-3,24e124136b327790,81.5,18.9
1662114851000,1662114852077,EM300-1,24e124136c195948,93.5,17.2
1662114905000,1662114906139,EM300-2,24e124136b327793,79.5,19.1
1662115001000,1662115002038,EM300-3,24e124136b327790,81.5,18.9
1662115151000,1662115152093,EM300-1,24e124136c195948,93.5,17.1
1662115203000,1662115203953,EM300-2,24e124136b327793,79.5,19.2
1662115299000,1662115299855,EM300-3,24e124136b327790,81.5,18.9
1662115503000,1662115504002,EM300-2,24e124136b327793,80.5,19.2
1662115599000,1662115599887,EM300-3,24e124136b327790,81.5,19
1662115751000,1662115752042,EM300-1,24e124136c195948,93.5,17
1662115803000,1662115803998,EM300-2,24e124136b327793,81,19.2
1662115899000,1662115899906,EM300-3,24e124136b327790,81,18.9
1662116051000,1662116052079,EM300-1,24e124136c195948,94,17.1
1662116105000,1662116106134,EM300-2,24e124136b327793,81,19.1
1662116199000,1662116199830,EM300-3,24e124136b327790,81.5,18.9
1662116351000,1662116352104,EM300-1,24e124136c195948,94,17.1
1662116403000,1662116403958,EM300-2,24e124136b327793,81,19
1662116499000,1662116499864,EM300-3,24e124136b327790,81.5,19
1662116651000,1662116652028,EM300-1,24e124136c195948,94,17.1
1662116703000,1662116703984,EM300-2,24e124136b327793,80.5,19.2
1662116799000,1662116799891,EM300-3,24e124136b327790,81.5,19
1662116953000,1662116954255,EM300-1,24e124136c195948,94,17.1
1662117003000,1662117003911,EM300-2,24e124136b327793,80.5,19.2
1662117251000,1662117252094,EM300-1,24e124136c195948,94,17
1662117303000,1662117303942,EM300-2,24e124136b327793,81,19.1
1662117399000,1662117399853,EM300-3,24e124136b327790,81.5,18.9
1662117551000,1662117552121,EM300-1,24e124136c195948,94,17
1662117603000,1662117603983,EM300-2,24e124136b327793,81,19
1662117699000,1662117699793,EM300-3,24e124136b327790,81,18.8
1662117851800,1662117852046,EM300-1,24e124136c195948,94,17.1
1662117999555,1662117999828,EM300-3,24e124136b327790,81.5,19
1662118151799,1662118152092,EM300-1,24e124136c195948,94,17
1662118203625,1662118203862,EM300-2,24e124136b327793,81,19
1662118299552,1662118299859,EM300-3,24e124136b327790,81.5,18.9
1662118453000,1662118454220,EM300-1,24e124136c195948,94,16.9
1662118503000,1662118503861,EM300-2,24e124136b327793,81,19
1662118599000,1662118599869,EM300-3,24e124136b327790,81.5,18.9
1662118751000,1662118752040,EM300-1,24e124136c195948,94,16.9
1662118803000,1662118803895,EM300-2,24e124136b327793,81,19
1662119051000,1662119052073,EM300-1,24e124136c195948,94,16.9
1662119103000,1662119103830,EM300-2,24e124136b327793,80.5,19
1662119199000,1662119199838,EM300-3,24e124136b327790,81.5,18.8
1662119351000,1662119352007,EM300-1,24e124136c195948,94.5,16.9
1662119403000,1662119403866,EM300-2,24e124136b327793,81,19
1662119499000,1662119499777,EM300-3,24e124136b327790,81.5,18.8
1662119651000,1662119652035,EM300-1,24e124136c195948,94,16.7
1662119801000,1662119802025,EM300-3,24e124136b327790,81.5,18.8
1662119951000,1662119952087,EM300-1,24e124136c195948,94,16.9
1662120003000,1662120003848,EM300-2,24e124136b327793,81.5,19
1662120099000,1662120099774,EM300-3,24e124136b327790,81.5,18.8
1662120251000,1662120252057,EM300-1,24e124136c195948,94,16.7
1662120303000,1662120303811,EM300-2,24e124136b327793,81.5,19
1662120399000,1662120399832,EM300-3,24e124136b327790,81.5,19
1662120551000,1662120552083,EM300-1,24e124136c195948,94,16.7
1662120603000,1662120603840,EM300-2,24e124136b327793,81,19
1662120699000,1662120699758,EM300-3,24e124136b327790,81,18.9
1662120851000,1662120852041,EM300-1,24e124136c195948,94,16.6
1662120903000,1662120903794,EM300-2,24e124136b327793,81,18.9
1662120999000,1662120999808,EM300-3,24e124136b327790,81,18.8
1662121151000,1662121152077,EM300-1,24e124136c195948,94,16.5
1662121203000,1662121203844,EM300-2,24e124136b327793,81,19
1662121299000,1662121299749,EM300-3,24e124136b327790,81,18.8
1662121451810,1662121452031,EM300-1,24e124136c195948,94,16.5
1662121503554,1662121503770,EM300-2,24e124136b327793,81,18.9
1662121599501,1662121599777,EM300-3,24e124136b327790,80.5,18.7
1662121803544,1662121803858,EM300-2,24e124136b327793,80.5,18.9
1662121899500,1662121899751,EM300-3,24e124136b327790,80.5,18.8
1662122051000,1662122052106,EM300-1,24e124136c195948,94,16.4
1662122105000,1662122105974,EM300-2,24e124136b327793,80.5,18.9
1662122199000,1662122199777,EM300-3,24e124136b327790,80.5,18.7
1662122351000,1662122352040,EM300-1,24e124136c195948,93.5,16.2
1662122405000,1662122405991,EM300-2,24e124136b327793,80,18.7
1662122499000,1662122499802,EM300-3,24e124136b327790,80,18.7
1662122651000,1662122652062,EM300-1,24e124136c195948,93.5,16.2
1662122703000,1662122703819,EM300-2,24e124136b327793,80,18.7
1662122801000,1662122801942,EM300-3,24e124136b327790,80,18.7
1662122951000,1662122952111,EM300-1,24e124136c195948,93,16
1662123003000,1662123003767,EM300-2,24e124136b327793,79.5,18.7
1662123099000,1662123099781,EM300-3,24e124136b327790,79.5,18.6
1662123251000,1662123252044,EM300-1,24e124136c195948,92.5,15.8
1662123305000,1662123305895,EM300-2,24e124136b327793,78.5,18.6
1662123399000,1662123399714,EM300-3,24e124136b327790,79,18.6
1662123551000,1662123552098,EM300-1,24e124136c195948,92,15.7
1662123603000,1662123603761,EM300-2,24e124136b327793,78.5,18.6
1662123699000,1662123699768,EM300-3,24e124136b327790,78.5,18.5
1662123903000,1662123903796,EM300-2,24e124136b327793,79,18.6
1662123999000,1662123999701,EM300-3,24e124136b327790,78.5,18.5
1662124151000,1662124152061,EM300-1,24e124136c195948,91.5,15.5
